rownumber,customerid,surname,creditscore,geography,gender,age,tenure,balance,numofproducts,hascrcard,isactivemember,estimatedsalary,exited,complain,satisfaction_score,card_type,point_earned,payment_proxy,churn,age_group,tenure_group,balance_group,average_revenue_group,annual_value_proxy,monthly_value_proxy,monthly_spend_category,customer_lifetime_value,customer_value_segment,revenue_at_risk,high_risk_customer_flag,active_status,credit_card_status,product_segment
2258,15698349,Davy,686,Spain,Female,35,4,0.0,2,1,1,159676.55,0,0,2,GOLD,624,GOLD,0,31-40,3-5 years,Low,Very High,1350.38,112.53,Medium,5401.52,Silver,0.0,0,Active,Has Credit Card,2 product(s)
2259,15776631,Ma,466,France,Female,36,5,119540.15,1,0,1,80603.99,0,0,1,PLATINUM,513,PLATINUM,0,31-40,3-5 years,High,Medium,3170.32,264.19,High,15851.6,Gold,0.0,0,Active,No Credit Card,1 product(s)
2260,15762216,Barrera,686,France,Female,41,4,129553.76,2,1,0,187599.8,0,0,4,DIAMOND,223,DIAMOND,0,41-50,3-5 years,Very High,Very High,3880.57,323.38,Very High,15522.28,Gold,0.0,0,Inactive,Has Credit Card,2 product(s)
2261,15623927,Alexander,576,France,Male,55,9,0.0,2,1,1,94450.97,0,0,5,DIAMOND,610,DIAMOND,0,51-60,9-10 years,Low,Medium,1017.25,84.77,Low,9155.25,Silver,0.0,0,Active,Has Credit Card,2 product(s)
2262,15681402,Ngozichukwuka,763,Germany,Female,61,1,66101.89,1,1,1,143981.27,0,0,2,PLATINUM,366,PLATINUM,0,61+,0-2 years,Medium,High,2344.94,195.41,Medium,2344.94,Bronze,0.0,0,Active,Has Credit Card,1 product(s)
2263,15586264,Murray,572,France,Male,43,2,140431.98,1,1,0,26450.57,1,1,4,DIAMOND,474,DIAMOND,1,41-50,0-2 years,Very High,Low,3297.89,274.82,High,6595.78,Silver,3297.89,1,Inactive,Has Credit Card,1 product(s)
2264,15594685,Hall,757,France,Female,49,2,0.0,2,0,0,164482.92,0,0,1,PLATINUM,265,PLATINUM,0,41-50,0-2 years,Low,Very High,1194.91,99.58,Low,2389.82,Bronze,0.0,1,Inactive,No Credit Card,2 product(s)
2265,15812945,Padovesi,582,France,Female,29,0,0.0,1,1,1,84012.81,0,0,2,DIAMOND,572,DIAMOND,0,18-30,0-2 years,Low,Medium,826.06,68.84,Low,826.06,Bronze,0.0,0,Active,Has Credit Card,1 product(s)
2266,15734628,Lysaght,623,France,Female,35,5,0.0,2,1,0,101192.08,0,0,2,DIAMOND,311,DIAMOND,0,31-40,3-5 years,Low,High,901.46,75.12,Low,4507.3,Silver,0.0,1,Inactive,Has Credit Card,2 product(s)
2267,15629323,Kelechi,617,Germany,Female,37,4,116471.43,2,1,0,175324.74,1,1,3,SILVER,984,SILVER,1,31-40,3-5 years,High,Very High,3938.05,328.17,Very High,15752.2,Gold,3938.05,1,Inactive,Has Credit Card,2 product(s)
2268,15666823,Nebechi,425,France,Male,39,4,0.0,2,1,0,197226.32,0,0,2,SILVER,261,SILVER,0,31-40,3-5 years,Low,Very High,1356.63,113.05,Medium,5426.52,Silver,0.0,1,Inactive,Has Credit Card,2 product(s)
2269,15777553,Hanson,659,France,Female,56,9,123785.24,1,1,0,99504.03,1,1,4,GOLD,928,GOLD,1,51-60,9-10 years,High,Medium,3557.22,296.44,Very High,32014.98,Platinum,3557.22,1,Inactive,Has Credit Card,1 product(s)
2270,15613097,Kao,605,France,Female,33,4,0.0,2,0,1,83700.66,0,0,3,DIAMOND,550,DIAMOND,0,31-40,3-5 years,Low,Medium,933.5,77.79,Low,3734.0,Bronze,0.0,0,Active,No Credit Card,2 product(s)
2271,15622217,Tu,538,France,Female,38,8,88758.95,2,0,0,28226.15,1,1,1,DIAMOND,911,DIAMOND,1,31-40,6-8 years,Medium,Low,2611.81,217.65,Medium,20894.48,Platinum,2611.81,1,Inactive,No Credit Card,2 product(s)
2272,15703588,Palerma,665,Germany,Male,25,5,153611.83,2,1,0,35321.65,0,0,1,SILVER,862,SILVER,0,18-30,3-5 years,Very High,Low,3919.84,326.65,Very High,19599.2,Gold,0.0,1,Inactive,Has Credit Card,2 product(s)
2273,15570835,Fallaci,491,Germany,Female,57,4,112044.72,1,1,1,41229.73,1,1,2,DIAMOND,562,DIAMOND,1,51-60,3-5 years,High,Low,2848.04,237.34,High,11392.16,Gold,2848.04,1,Active,Has Credit Card,1 product(s)
2274,15679299,Shen,726,Spain,Female,27,7,123826.07,1,0,1,78970.58,0,0,2,GOLD,535,GOLD,0,18-30,6-8 years,High,Medium,3258.87,271.57,High,22812.09,Platinum,0.0,0,Active,No Credit Card,1 product(s)
2275,15808044,Ts'ui,580,France,Female,65,9,106804.26,3,1,0,107890.69,1,1,3,GOLD,950,GOLD,1,61+,9-10 years,High,High,3510.54,292.54,High,31594.86,Platinum,3510.54,1,Inactive,Has Credit Card,3+ products
2276,15579208,Chikezie,550,France,Female,48,6,0.0,2,1,1,191870.28,0,0,2,PLATINUM,730,PLATINUM,0,41-50,6-8 years,Low,Very High,1564.35,130.36,Medium,9386.1,Gold,0.0,0,Active,Has Credit Card,2 product(s)
2277,15684951,He,542,France,Female,59,2,68892.77,2,1,0,7905.06,1,1,5,DIAMOND,442,DIAMOND,1,51-60,0-2 years,Medium,Low,1878.38,156.53,Medium,3756.76,Bronze,1878.38,1,Inactive,Has Credit Card,2 product(s)
2278,15667620,Dreyer,732,France,Female,43,6,0.0,2,1,0,65731.53,0,0,3,PLATINUM,767,PLATINUM,0,41-50,6-8 years,Low,Medium,952.16,79.35,Low,5712.96,Silver,0.0,0,Inactive,Has Credit Card,2 product(s)
2279,15582960,Short,473,France,Female,33,5,125827.43,1,0,1,145698.73,0,0,5,PLATINUM,299,PLATINUM,0,31-40,3-5 years,High,High,3514.54,292.88,High,17572.7,Gold,0.0,0,Active,No Credit Card,1 product(s)
2280,15590730,Hunt,745,Spain,Male,34,9,0.0,2,1,0,50046.25,0,0,3,SILVER,848,SILVER,0,31-40,9-10 years,Low,Low,914.23,76.19,Low,8228.07,Silver,0.0,0,Inactive,Has Credit Card,2 product(s)
2281,15763747,Ricci,732,France,Male,36,7,0.0,2,1,1,60830.24,0,0,1,GOLD,875,GOLD,0,31-40,6-8 years,Low,Medium,981.65,81.8,Low,6871.55,Silver,0.0,0,Active,Has Credit Card,2 product(s)
2282,15778320,Teng,848,Germany,Female,40,5,148495.64,1,0,0,158853.98,0,0,3,SILVER,616,SILVER,0,31-40,3-5 years,Very High,Very High,4192.18,349.35,Very High,20960.9,Platinum,0.0,0,Inactive,No Credit Card,1 product(s)
2283,15642787,Ijendu,572,France,Male,37,1,133043.66,1,0,0,111243.09,0,0,4,GOLD,444,GOLD,0,31-40,0-2 years,Very High,High,3559.09,296.59,Very High,3559.09,Bronze,0.0,0,Inactive,No Credit Card,1 product(s)
2284,15624633,Kibby,702,France,Male,45,9,74989.58,1,1,1,171014.69,0,0,3,SILVER,811,SILVER,0,41-50,9-10 years,Medium,Very High,2880.37,240.03,High,25923.33,Platinum,0.0,0,Active,Has Credit Card,1 product(s)
2285,15766765,Obiuto,664,Germany,Male,39,7,60263.23,1,1,0,170835.32,0,0,5,SILVER,466,SILVER,0,31-40,6-8 years,Medium,Very High,2412.44,201.04,Medium,16887.08,Gold,0.0,0,Inactive,Has Credit Card,1 product(s)
2286,15783615,Ramos,630,Germany,Male,50,3,129370.91,4,1,1,47775.34,1,1,1,GOLD,712,GOLD,1,41-50,3-5 years,Very High,Low,3662.29,305.19,Very High,10986.87,Gold,3662.29,1,Active,Has Credit Card,3+ products
2287,15640161,Calabrese,618,Germany,Male,44,5,157955.83,2,0,0,139297.71,0,0,5,GOLD,668,GOLD,0,41-50,3-5 years,Very High,High,4429.61,369.13,Very High,22148.05,Platinum,0.0,0,Inactive,No Credit Card,2 product(s)
2288,15619889,Vasin,556,France,Male,26,4,0.0,1,1,0,195167.38,0,0,4,SILVER,727,SILVER,0,18-30,3-5 years,Low,Very High,1459.34,121.61,Medium,5837.36,Silver,0.0,0,Inactive,Has Credit Card,1 product(s)
2289,15579166,Munro,619,France,Female,30,7,70729.17,1,1,1,160948.87,0,0,1,DIAMOND,962,DIAMOND,0,18-30,6-8 years,Medium,Very High,2820.33,235.03,Medium,19742.31,Platinum,0.0,0,Active,Has Credit Card,1 product(s)
2290,15789097,Keeley,644,France,Male,48,8,0.0,2,0,1,44965.54,1,1,4,DIAMOND,930,DIAMOND,1,41-50,6-8 years,Low,Low,929.83,77.49,Low,7438.64,Silver,929.83,1,Active,No Credit Card,2 product(s)
2291,15674880,Archer,658,Spain,Male,50,2,0.0,2,1,0,52137.73,0,0,1,GOLD,893,GOLD,0,41-50,0-2 years,Low,Medium,947.19,78.93,Low,1894.38,Bronze,0.0,1,Inactive,Has Credit Card,2 product(s)
2292,15778157,Murray,598,Spain,Male,27,8,90721.52,2,1,0,109296.18,0,0,1,GOLD,698,GOLD,0,18-30,6-8 years,Medium,High,2949.91,245.83,High,23599.28,Platinum,0.0,1,Inactive,Has Credit Card,2 product(s)
2293,15779064,Chidiegwu,677,France,Male,27,2,0.0,2,1,1,20092.89,0,0,3,PLATINUM,737,PLATINUM,0,18-30,0-2 years,Low,Low,708.96,59.08,Low,1417.92,Bronze,0.0,0,Active,Has Credit Card,2 product(s)
2294,15801265,Tang,689,Spain,Female,45,0,57784.22,1,1,0,197804.0,1,1,3,SILVER,709,SILVER,1,41-50,0-2 years,Medium,Very High,2619.2,218.27,Medium,2619.2,Bronze,2619.2,1,Inactive,Has Credit Card,1 product(s)
2295,15589204,Farrar,591,France,Male,33,9,131765.72,1,1,0,118782.06,0,0,5,GOLD,597,GOLD,0,31-40,9-10 years,Very High,High,3647.72,303.98,Very High,32829.48,Platinum,0.0,0,Inactive,Has Credit Card,1 product(s)
2296,15664543,Shaw,699,France,Male,40,7,0.0,1,0,1,152876.13,1,1,3,DIAMOND,497,DIAMOND,1,31-40,6-8 years,Low,Very High,1132.88,94.41,Low,7930.16,Silver,1132.88,1,Active,No Credit Card,1 product(s)
2297,15582714,Napolitani,749,Germany,Male,47,9,110022.74,1,0,1,135655.29,1,1,3,GOLD,634,GOLD,1,41-50,9-10 years,High,High,3315.73,276.31,High,29841.57,Platinum,3315.73,1,Active,No Credit Card,1 product(s)
2298,15797595,Greenhalgh,709,France,Female,40,9,131569.63,1,1,1,103970.58,0,0,1,DIAMOND,295,DIAMOND,0,31-40,9-10 years,Very High,High,3418.75,284.9,High,30768.75,Platinum,0.0,0,Active,Has Credit Card,1 product(s)
2299,15614034,Martin,607,Germany,Male,61,2,164523.5,2,1,1,35786.76,0,0,1,DIAMOND,702,DIAMOND,0,61+,0-2 years,Very High,Low,4060.4,338.37,Very High,8120.8,Silver,0.0,0,Active,Has Credit Card,2 product(s)
2300,15763171,Hu,650,Germany,Female,25,2,114330.95,1,1,1,25325.07,0,0,1,DIAMOND,876,DIAMOND,0,18-30,0-2 years,High,Low,2971.24,247.6,High,5942.48,Silver,0.0,0,Active,Has Credit Card,1 product(s)
2301,15647266,Y?an,651,Spain,Female,45,10,135923.16,1,1,0,18732.84,0,0,3,GOLD,500,GOLD,0,41-50,9-10 years,Very High,Low,3182.13,265.18,High,31821.3,Platinum,0.0,0,Inactive,Has Credit Card,1 product(s)
2302,15757577,Odili,676,France,Female,61,8,0.0,2,1,1,118522.73,0,0,5,DIAMOND,762,DIAMOND,0,61+,6-8 years,Low,High,1213.61,101.13,Medium,9708.88,Gold,0.0,0,Active,Has Credit Card,2 product(s)
2303,15736656,H?,723,France,Female,49,4,0.0,2,0,1,89972.25,0,0,1,PLATINUM,886,PLATINUM,0,41-50,3-5 years,Low,Medium,1132.86,94.4,Low,4531.44,Silver,0.0,0,Active,No Credit Card,2 product(s)
2304,15635078,Chiemela,714,Spain,Male,45,0,124693.48,1,0,1,187194.15,0,0,2,PLATINUM,952,PLATINUM,0,41-50,0-2 years,High,Very High,4025.84,335.49,Very High,4025.84,Bronze,0.0,0,Active,No Credit Card,1 product(s)
2305,15680141,Yuan,759,Spain,Female,35,7,147936.42,1,1,1,106785.7,0,0,4,SILVER,312,SILVER,0,31-40,6-8 years,Very High,High,3768.66,314.06,Very High,26380.62,Platinum,0.0,0,Active,Has Credit Card,1 product(s)
2306,15576945,Clements,582,France,Male,29,0,0.0,1,1,0,142516.35,0,0,2,GOLD,352,GOLD,0,18-30,0-2 years,Low,High,1008.58,84.05,Low,1008.58,Bronze,0.0,1,Inactive,Has Credit Card,1 product(s)
2307,15602034,Kolesnikov,697,France,Female,34,2,126558.92,1,1,0,73334.43,0,0,5,PLATINUM,809,PLATINUM,0,31-40,0-2 years,High,Medium,3422.35,285.2,High,6844.7,Silver,0.0,0,Inactive,Has Credit Card,1 product(s)
2308,15732020,Rutherford,610,Germany,Male,57,6,106938.11,2,0,1,186612.47,0,0,4,DIAMOND,913,DIAMOND,0,51-60,6-8 years,High,Very High,3768.32,314.03,Very High,22609.92,Platinum,0.0,0,Active,No Credit Card,2 product(s)
2309,15611029,Hsiung,488,Germany,Female,33,4,140002.35,1,1,0,123613.81,0,0,1,GOLD,935,GOLD,0,31-40,3-5 years,Very High,High,4005.62,333.8,Very High,16022.48,Gold,0.0,1,Inactive,Has Credit Card,1 product(s)
2310,15621210,Angelo,599,Germany,Male,46,9,123444.72,1,1,1,31368.08,1,1,3,DIAMOND,726,DIAMOND,1,41-50,9-10 years,High,Low,3108.73,259.06,High,27978.57,Platinum,3108.73,1,Active,Has Credit Card,1 product(s)
2311,15569222,Mendes,781,France,Male,32,6,147107.91,1,1,1,40066.95,0,0,1,PLATINUM,740,PLATINUM,0,31-40,6-8 years,Very High,Low,3632.49,302.71,Very High,21794.94,Platinum,0.0,0,Active,Has Credit Card,1 product(s)
2312,15664639,McGregor,645,France,Male,19,9,128514.84,1,0,0,175969.19,0,0,5,GOLD,796,GOLD,0,18-30,9-10 years,Very High,Very High,3968.14,330.68,Very High,35713.26,Platinum,0.0,0,Inactive,No Credit Card,1 product(s)
2313,15724223,Bronner,545,France,Female,55,5,0.0,1,0,0,10034.77,1,1,5,DIAMOND,524,DIAMOND,1,51-60,3-5 years,Low,Low,432.17,36.01,Low,2160.85,Bronze,432.17,1,Inactive,No Credit Card,1 product(s)
2314,15644621,Mironova,597,Germany,Female,40,9,106756.01,2,1,0,151167.94,0,0,3,PLATINUM,701,PLATINUM,0,31-40,9-10 years,High,Very High,3481.46,290.12,High,31333.14,Platinum,0.0,0,Inactive,Has Credit Card,2 product(s)
2315,15756056,Ku,561,Spain,Female,28,3,0.0,2,1,0,191387.76,0,0,1,DIAMOND,276,DIAMOND,0,18-30,3-5 years,Low,Very High,1334.94,111.24,Medium,4004.82,Bronze,0.0,1,Inactive,Has Credit Card,2 product(s)
2316,15700353,Evans,662,France,Female,37,6,0.0,2,1,0,51229.17,0,0,5,PLATINUM,526,PLATINUM,0,31-40,6-8 years,Low,Medium,759.15,63.26,Low,4554.9,Silver,0.0,0,Inactive,Has Credit Card,2 product(s)
2317,15624388,Henderson,649,Germany,Female,50,5,155393.32,1,1,1,87351.42,1,1,5,DIAMOND,312,DIAMOND,1,41-50,3-5 years,Very High,Medium,3820.62,318.38,Very High,19103.1,Gold,3820.62,1,Active,Has Credit Card,1 product(s)
2318,15627212,Smith,630,France,Female,36,2,110414.48,1,1,1,48984.95,0,0,3,SILVER,882,SILVER,0,31-40,0-2 years,High,Low,3014.21,251.18,High,6028.42,Silver,0.0,0,Active,Has Credit Card,1 product(s)
2319,15648005,Russell,672,Spain,Male,33,2,0.0,2,1,1,182738.0,0,0,4,SILVER,609,SILVER,0,31-40,0-2 years,Low,Very High,1458.19,121.52,Medium,2916.38,Bronze,0.0,0,Active,Has Credit Card,2 product(s)
2320,15681446,Sun,636,Germany,Female,37,9,157098.52,1,1,1,153535.27,0,0,3,SILVER,638,SILVER,0,31-40,9-10 years,Very High,Very High,4348.65,362.39,Very High,39137.85,Platinum,0.0,0,Active,Has Credit Card,1 product(s)
2321,15775888,McDonald,593,Germany,Female,38,5,85626.6,1,1,1,125079.65,0,0,2,GOLD,891,GOLD,0,31-40,3-5 years,Medium,High,2903.43,241.95,High,14517.15,Gold,0.0,0,Active,Has Credit Card,1 product(s)
2322,15749019,Wong,545,Germany,Male,45,6,93796.42,2,1,1,162321.26,0,0,3,GOLD,577,GOLD,0,41-50,6-8 years,Medium,Very High,3216.03,268.0,High,19296.18,Gold,0.0,0,Active,Has Credit Card,2 product(s)
2323,15709928,Niu,567,Spain,Female,41,1,0.0,2,1,0,3414.72,0,0,5,SILVER,684,SILVER,0,41-50,0-2 years,Low,Low,599.07,49.92,Low,599.07,Bronze,0.0,0,Inactive,Has Credit Card,2 product(s)
2324,15784676,Fanucci,583,France,Male,51,6,125268.03,2,1,0,165082.25,0,0,4,PLATINUM,837,PLATINUM,0,51-60,6-8 years,High,Very High,3989.27,332.44,Very High,23935.62,Platinum,0.0,0,Inactive,Has Credit Card,2 product(s)
2325,15748116,Zetticci,681,France,Female,29,2,148143.84,1,1,1,52021.39,0,0,5,SILVER,394,SILVER,0,18-30,0-2 years,Very High,Medium,3539.98,295.0,High,7079.96,Silver,0.0,0,Active,Has Credit Card,1 product(s)
2326,15612193,Hsia,762,Spain,Male,29,10,115545.33,2,1,0,148256.43,0,0,3,PLATINUM,931,PLATINUM,0,18-30,9-10 years,High,High,3757.69,313.14,Very High,37576.9,Platinum,0.0,0,Inactive,Has Credit Card,2 product(s)
2327,15762984,McIntosh,648,Spain,Male,35,7,0.0,2,0,0,122899.01,0,0,2,DIAMOND,878,DIAMOND,0,31-40,6-8 years,Low,High,1293.5,107.79,Medium,9054.5,Silver,0.0,1,Inactive,No Credit Card,2 product(s)
2328,15613713,Kozlova,644,France,Male,30,5,44928.88,1,1,1,10771.46,0,0,4,PLATINUM,528,PLATINUM,0,18-30,3-5 years,Medium,Low,1336.43,111.37,Medium,6682.15,Silver,0.0,0,Active,Has Credit Card,1 product(s)
2329,15664204,Meany,706,Spain,Male,29,2,0.0,2,1,1,18255.51,0,0,1,SILVER,868,SILVER,0,18-30,0-2 years,Low,Low,765.28,63.77,Low,1530.56,Bronze,0.0,0,Active,Has Credit Card,2 product(s)
2330,15639415,Thompson,850,France,Male,35,3,162442.35,1,1,0,183566.78,0,0,3,GOLD,801,GOLD,0,31-40,3-5 years,Very High,Very High,4687.18,390.6,Very High,14061.54,Gold,0.0,0,Inactive,Has Credit Card,1 product(s)
2331,15806332,Le Gallienne,484,Spain,Female,39,5,0.0,2,1,1,175224.12,0,0,2,SILVER,740,SILVER,0,31-40,3-5 years,Low,Very High,1486.12,123.84,Medium,7430.6,Silver,0.0,0,Active,Has Credit Card,2 product(s)
2332,15614929,Cheng,508,Germany,Male,28,0,96213.82,2,1,0,147913.56,0,0,2,PLATINUM,371,PLATINUM,0,18-30,0-2 years,Medium,High,3089.34,257.44,High,3089.34,Bronze,0.0,1,Inactive,Has Credit Card,2 product(s)
2333,15695492,P'eng,439,France,Female,29,6,156569.43,1,1,0,180598.66,0,0,2,GOLD,939,GOLD,0,18-30,6-8 years,Very High,Very High,4623.88,385.32,Very High,27743.28,Platinum,0.0,1,Inactive,Has Credit Card,1 product(s)
2334,15635972,Lloyd,484,Spain,Male,36,8,0.0,2,1,0,186136.48,0,0,1,PLATINUM,512,PLATINUM,0,31-40,6-8 years,Low,Very High,1426.68,118.89,Medium,11413.44,Gold,0.0,1,Inactive,Has Credit Card,2 product(s)
2335,15616380,Wheeler,803,Spain,Female,37,1,0.0,2,0,0,7455.2,0,0,4,SILVER,663,SILVER,0,31-40,0-2 years,Low,Low,608.78,50.73,Low,608.78,Bronze,0.0,0,Inactive,No Credit Card,2 product(s)
2336,15581440,Christie,724,Germany,Female,48,6,110463.25,2,1,1,80552.11,1,1,1,PLATINUM,356,PLATINUM,1,41-50,6-8 years,High,Medium,3030.03,252.5,High,18180.18,Gold,3030.03,1,Active,Has Credit Card,2 product(s)
2337,15654390,He,640,France,Male,33,7,154575.76,1,1,0,25722.28,1,1,5,GOLD,762,GOLD,1,31-40,6-8 years,Very High,Low,3721.13,310.09,Very High,26047.91,Platinum,3721.13,1,Inactive,Has Credit Card,1 product(s)
2338,15660688,King,701,Spain,Female,35,9,0.0,2,0,0,170996.86,0,0,3,DIAMOND,303,DIAMOND,0,31-40,9-10 years,Low,Very High,1246.48,103.87,Medium,11218.32,Gold,0.0,0,Inactive,No Credit Card,2 product(s)
2339,15806307,Favors,537,France,Male,37,3,0.0,2,1,1,20603.32,0,0,2,SILVER,847,SILVER,0,31-40,3-5 years,Low,Low,766.52,63.88,Low,2299.56,Bronze,0.0,0,Active,Has Credit Card,2 product(s)
2340,15647975,Vida,651,Germany,Male,26,5,147037.32,1,0,0,141763.26,0,0,5,SILVER,637,SILVER,0,18-30,3-5 years,Very High,High,4088.06,340.67,Very High,20440.3,Platinum,0.0,0,Inactive,No Credit Card,1 product(s)
2341,15595728,Thomas,523,Germany,Male,41,0,119276.31,1,0,0,122284.38,1,1,3,SILVER,844,SILVER,1,41-50,0-2 years,High,High,3538.95,294.91,High,3538.95,Bronze,3538.95,1,Inactive,No Credit Card,1 product(s)
2342,15735388,Wayn,717,France,Female,25,7,108664.85,2,1,0,190011.85,0,0,3,PLATINUM,433,PLATINUM,0,18-30,6-8 years,High,Very High,3579.86,298.32,Very High,25059.02,Platinum,0.0,0,Inactive,Has Credit Card,2 product(s)
2343,15788535,Tan,593,Spain,Male,44,5,0.0,1,1,0,128046.98,0,0,2,SILVER,569,SILVER,0,41-50,3-5 years,Low,High,1044.73,87.06,Low,5223.65,Silver,0.0,1,Inactive,Has Credit Card,1 product(s)
2344,15765902,Gibson,706,Germany,Male,38,5,163034.82,2,1,1,135662.17,0,0,3,DIAMOND,826,DIAMOND,0,31-40,3-5 years,Very High,High,4592.01,382.67,Very High,22960.05,Platinum,0.0,0,Active,Has Credit Card,2 product(s)
2345,15642345,Y?,714,Germany,Female,49,4,93059.34,1,1,0,7571.51,1,1,4,PLATINUM,381,PLATINUM,1,41-50,3-5 years,Medium,Low,2209.54,184.13,Medium,8838.16,Silver,2209.54,1,Inactive,Has Credit Card,1 product(s)
2346,15641250,Calabresi,794,Spain,Male,38,9,179581.31,1,1,0,23596.24,0,0,4,PLATINUM,814,PLATINUM,0,31-40,9-10 years,Very High,Low,4236.61,353.05,Very High,38129.49,Platinum,0.0,0,Inactive,Has Credit Card,1 product(s)
2347,15706163,Enyinnaya,518,Germany,Male,46,4,113625.93,1,0,0,92727.42,1,1,2,SILVER,734,SILVER,1,41-50,3-5 years,High,Medium,3223.16,268.6,High,12892.64,Gold,3223.16,1,Inactive,No Credit Card,1 product(s)
2348,15746708,Ritchie,589,Germany,Male,55,7,119961.48,1,1,0,65156.83,1,1,5,PLATINUM,248,PLATINUM,1,51-60,6-8 years,High,Medium,2969.01,247.42,High,20783.07,Platinum,2969.01,1,Inactive,Has Credit Card,1 product(s)
2349,15775203,Chia,824,France,Male,45,3,129209.48,1,0,0,60151.77,0,0,2,DIAMOND,907,DIAMOND,0,41-50,3-5 years,Very High,Medium,3458.45,288.2,High,10375.35,Gold,0.0,1,Inactive,No Credit Card,1 product(s)
2350,15787907,Wang,719,Germany,Female,42,5,137227.04,3,1,0,149097.38,1,1,5,PLATINUM,512,PLATINUM,1,41-50,3-5 years,Very High,High,4106.03,342.17,Very High,20530.15,Platinum,4106.03,1,Inactive,Has Credit Card,3+ products
2351,15646764,Lorenzo,617,Germany,Female,58,3,119024.75,2,1,0,35199.24,1,1,2,PLATINUM,452,PLATINUM,1,51-60,3-5 years,High,Low,3022.49,251.87,High,9067.47,Silver,3022.49,1,Inactive,Has Credit Card,2 product(s)
2352,15678284,Pai,651,France,Male,35,7,74623.5,3,1,0,129451.29,1,1,2,SILVER,515,SILVER,1,31-40,6-8 years,Medium,High,2757.23,229.77,Medium,19300.61,Gold,2757.23,1,Inactive,Has Credit Card,3+ products
2353,15726791,Nuttall,637,Spain,Female,45,2,157929.45,1,1,1,145134.49,1,1,4,DIAMOND,546,DIAMOND,1,41-50,0-2 years,Very High,High,4277.26,356.44,Very High,8554.52,Silver,4277.26,1,Active,Has Credit Card,1 product(s)
2354,15813144,Osborne,554,France,Female,26,7,92606.86,2,1,0,192709.69,0,0,3,SILVER,675,SILVER,0,18-30,6-8 years,Medium,Very High,3393.19,282.77,High,23752.33,Platinum,0.0,0,Inactive,Has Credit Card,2 product(s)
2355,15669342,Ferri,731,Germany,Male,35,2,127862.93,2,1,0,139083.7,0,0,1,PLATINUM,561,PLATINUM,0,31-40,0-2 years,Very High,High,3773.18,314.43,Very High,7546.36,Silver,0.0,1,Inactive,Has Credit Card,2 product(s)
2356,15710366,Hamilton,569,Spain,Female,42,1,0.0,1,1,1,83629.6,1,1,2,PLATINUM,748,PLATINUM,1,41-50,0-2 years,Low,Medium,912.15,76.01,Low,912.15,Bronze,912.15,1,Active,Has Credit Card,1 product(s)
2357,15614934,McEwan,625,Germany,Female,37,4,142711.81,1,1,0,35625.41,0,0,2,SILVER,251,SILVER,0,31-40,3-5 years,Very High,Low,3277.86,273.16,High,13111.44,Gold,0.0,1,Inactive,Has Credit Card,1 product(s)
2358,15588701,Lai,592,France,Female,38,4,0.0,2,1,0,35338.96,0,0,4,SILVER,305,SILVER,0,31-40,3-5 years,Low,Low,569.19,47.43,Low,2276.76,Bronze,0.0,0,Inactive,Has Credit Card,2 product(s)
2359,15665438,Hs?,669,France,Male,43,1,163159.85,1,0,1,15602.8,0,0,5,PLATINUM,952,PLATINUM,0,41-50,0-2 years,Very High,Low,3937.21,328.1,Very High,3937.21,Bronze,0.0,0,Active,No Credit Card,1 product(s)
2360,15644896,Thompson,663,Germany,Male,32,3,108586.86,1,1,1,182355.21,0,0,5,PLATINUM,723,PLATINUM,0,31-40,3-5 years,High,Very High,3565.01,297.08,Very High,10695.03,Gold,0.0,0,Active,Has Credit Card,1 product(s)
2361,15670205,Boyd,518,Germany,Female,41,5,110624.99,1,1,0,89327.67,0,0,4,PLATINUM,911,PLATINUM,0,41-50,3-5 years,High,Medium,3234.64,269.55,High,16173.2,Gold,0.0,0,Inactive,Has Credit Card,1 product(s)
2362,15635776,Trevisani,686,Germany,Female,43,5,154846.24,2,1,1,151903.6,0,0,5,DIAMOND,546,DIAMOND,0,41-50,3-5 years,Very High,Very High,4369.44,364.12,Very High,21847.2,Platinum,0.0,0,Active,Has Credit Card,2 product(s)
2363,15791053,Lucciano,709,Germany,Male,45,4,122917.71,1,1,1,11.58,1,1,5,GOLD,254,GOLD,1,41-50,3-5 years,High,Low,2705.41,225.45,Medium,10821.64,Gold,2705.41,1,Active,Has Credit Card,1 product(s)
2364,15644005,Holman,571,France,Female,33,9,0.0,2,0,1,77519.62,0,0,2,PLATINUM,702,PLATINUM,0,31-40,9-10 years,Low,Medium,978.6,81.55,Low,8807.4,Silver,0.0,0,Active,No Credit Card,2 product(s)
2365,15796343,Bazhenov,707,France,Female,31,2,82787.93,2,0,0,91423.69,0,0,5,PLATINUM,585,PLATINUM,0,31-40,0-2 years,Medium,Medium,2645.38,220.45,Medium,5290.76,Silver,0.0,0,Inactive,No Credit Card,2 product(s)
2366,15751057,Douglas,701,Germany,Male,32,5,102500.34,1,0,0,106287.77,0,0,5,PLATINUM,763,PLATINUM,0,31-40,3-5 years,High,High,3082.95,256.91,High,15414.75,Gold,0.0,0,Inactive,No Credit Card,1 product(s)
2367,15623430,Hill,672,France,Male,34,9,0.0,2,1,0,161800.77,0,0,3,GOLD,239,GOLD,0,31-40,9-10 years,Low,Very High,1168.5,97.38,Low,10516.5,Gold,0.0,0,Inactive,Has Credit Card,2 product(s)
